isTest,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,fea19,fea20,fea21,fea22,fea23,fea24,sid,class
0,-0.372758,-1.821679,-0.846321,0.465208,-2.015072,-0.839242,-0.564097,-0.796225,-0.149604,0.599967,-0.823936,-0.28614,-0.507478,-1.369001,-0.51599,0.577993,-1.534954,-0.67319,-0.536343,-1.626957,-0.594337,0.619205,-1.771773,-0.810086,1,4.0
0,-0.54737,-1.600105,-0.809446,0.556062,-1.669622,-0.748726,-0.66899,-0.673415,-0.162021,0.622368,-0.717765,-0.095969,-0.649392,-1.250653,-0.623894,0.619648,-1.271334,-0.495517,-0.557755,-1.416602,-0.849636,0.618919,-1.497652,-0.754927,2,3.0
0,-0.587062,-1.755034,-0.648786,0.54266,-1.75952,-0.573142,-0.683921,-0.75,-0.146066,0.588525,-0.813381,-0.073817,-0.680587,-1.349298,-0.483263,0.61787,-1.406456,-0.372397,-0.729303,-1.516087,-0.464015,0.41764,-1.549212,-0.564249,3,3.0
0,-0.514671,-1.893971,-0.748957,0.571942,-1.988466,-0.745504,-0.563803,-0.729743,-0.132236,0.576847,-0.769109,-0.276138,-0.528208,-1.502747,-0.559506,0.621333,-1.504254,-0.595728,-0.392323,-1.661124,-0.780828,0.439658,-1.701396,-0.809376,4,4.0
0,-0.718601,-2.153186,-0.859093,0.80848,-2.175653,-0.76393,-0.689536,-0.803106,-0.269982,0.717469,-0.898846,-0.160594,-0.668832,-1.72171,-0.750834,0.796748,-1.801784,-0.574368,-0.531636,-1.875322,-0.876736,0.634141,-1.956089,-0.797694,5,3.0
0,0.412806,-1.439078,-0.704012,0.515822,-1.996431,-0.77583,-0.565745,-0.805897,-0.131772,0.565788,-0.78984,-0.275121,0.06072,-1.189083,-0.709773,0.602507,-1.5172,-0.580752,0.335704,-1.110287,-0.667014,0.399113,-1.713619,-0.812718,6,5.0
0,-0.519771,-2.140106,-0.957224,0.675893,-2.317945,-0.254602,-0.672175,-0.811646,-0.355687,0.563137,-0.844167,0.049452,-0.61342,-1.619169,-0.733924,0.658217,-1.78265,-0.084877,-0.411614,-1.853233,-0.865847,0.567708,-2.028747,-0.35898,7,1.0
0,0.743364,-0.45101,-0.278732,0.482312,-1.89794,-0.85478,-0.538953,-0.771883,-0.023627,0.655987,-0.808819,-0.268088,0.260973,-0.557218,-0.291458,0.623668,-1.434484,-0.665031,0.476195,-0.223942,-0.361342,0.642464,-1.742761,-0.833568,8,6.0
0,-0.710793,-2.30225,-0.693851,0.715485,-2.16317,-0.65191,-0.703765,-0.811252,-0.190458,0.686236,-0.864264,-0.160822,-0.702458,-1.70288,-0.663727,0.761109,-1.663234,-0.526652,-0.61914,-1.974564,-0.926279,0.618103,-1.877056,-0.824699,9,3.0
0,-0.518901,-1.715338,-0.434409,0.446069,-1.763904,-0.635912,-0.589381,-0.678323,-0.003736,0.660851,-0.741972,-0.283245,-0.617953,-1.301854,-0.293465,0.607796,-1.311037,-0.51536,-0.44718,-1.397618,-0.488036,0.635515,-1.481807,-0.564795,10,2.0
0,-0.475775,-1.798263,-0.463957,0.414463,-1.754899,-0.686905,-0.581654,-0.711949,0.048998,0.600899,-0.718267,-0.343648,-0.602716,-1.333872,-0.249776,0.545969,-1.293062,-0.590947,-0.635622,-1.561871,-0.25734,0.625947,-1.408776,-0.618542,11,6.0
0,-0.489753,-1.552931,-0.907814,0.632831,-1.615255,-0.63772,-0.764322,-0.450899,-0.079976,0.588484,-0.730616,-0.013982,-0.610917,-1.036482,-0.577443,0.659456,-1.235928,-0.379883,-0.635067,-1.505388,-0.846206,0.447123,-1.463239,-0.547992,12,1.0
0,-0.660552,-2.104221,-0.866174,0.747866,-2.068042,-0.772591,-0.690932,-0.828008,-0.249611,0.690268,-0.902206,-0.157095,-0.700976,-1.72761,-0.733843,0.814731,-1.588577,-0.51046,-0.820099,-1.903326,-0.786494,0.837616,-1.854451,-0.74221,13,4.0
0,-0.491601,-1.826599,-0.897913,0.528623,-1.910821,-0.795715,-0.557482,-0.761499,-0.15438,0.544535,-0.737232,-0.267628,-0.558418,-1.408936,-0.538547,0.606335,-1.45572,-0.59547,-0.415511,-1.511258,-0.798427,0.647173,-1.670685,-0.74693,14,6.0
0,-0.539456,-2.179898,-1.101398,0.580727,-2.35758,-0.368905,-0.74685,-0.831905,-0.479341,0.551777,-1.085515,0.202023,-0.635546,-1.769929,-0.936435,0.602844,-1.924176,-0.18006,-0.642182,-2.023841,-1.139403,0.441988,-2.129005,-0.472557,15,3.0
0,-0.710665,-1.908688,-0.59355,0.731099,-1.846721,-0.836336,-0.568684,-0.745796,-0.067454,0.603264,-0.766373,-0.312804,-0.592927,-1.384727,-0.426662,0.620247,-1.409867,-0.64347,-0.675992,-1.532419,-0.388899,0.428954,-1.645934,-0.847314,16,2.0
0,-0.563354,-1.702251,-0.710331,0.641848,-1.70503,-0.519562,-0.555121,-0.717654,-0.062456,0.605396,-0.761609,-0.260117,-0.59789,-1.307545,-0.39026,0.604904,-1.443386,-0.473391,-0.647512,-1.554513,-0.448568,0.688194,-1.601009,-0.527793,17,3.0
0,-0.578288,-1.807544,-0.662922,0.430761,-1.897957,-0.590022,-0.68789,-0.755903,-0.182811,0.593151,-0.848015,-0.08832,-0.684067,-1.385261,-0.488758,0.554866,-1.498738,-0.431837,-0.488465,-1.532586,-0.700727,0.600409,-1.719113,-0.594308,18,2.0
0,-0.606241,-1.653624,-0.871777,0.587811,-1.714449,-0.625264,-0.682808,-0.642612,-0.204977,0.593652,-0.733968,0.027342,-0.690456,-1.296724,-0.68354,0.638248,-1.305082,-0.352729,-0.758764,-1.555183,-0.759586,0.647415,-1.572621,-0.635866,19,2.0
0,-0.564797,-1.817818,-0.682406,0.564082,-1.73287,-0.584034,-0.611394,-0.679827,-0.103681,0.612614,-0.760514,-0.069099,-0.602773,-1.388705,-0.494146,0.60331,-1.403597,-0.409935,-0.643351,-1.717399,-0.656766,0.435106,-1.538377,-0.639644,20,6.0
0,-0.468259,-2.176484,-1.067443,0.666323,-2.383095,-0.142726,-0.697214,-0.876289,-0.462676,0.610653,-1.078618,0.267524,-0.603749,-1.630911,-0.859387,0.661359,-1.877616,-0.01167,-0.428289,-1.89507,-1.065331,0.669868,-2.195849,-0.251249,21,4.0
